Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Generated_Description
hhi_18.ply,Distorted but identifiable,Low,Low,Medium,Low,Low,None,None,None,None,8.238461538,8,Good,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_19.ply,Distorted but identifiable,Medium,Medium,Medium,None,Medium,None,None,None,None,7.399234694,7,Good,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and no perceptible blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_20.ply,Barely Identifiable,Medium,Medium,High,None,Medium,None,None,None,None,5.016666667,5,Fair,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and no perceptible blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_21.ply,Completely Damaged,Medium,High,High,None,High,None,None,None,None,4.308333333,4,Poor,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a high level of color distortion, a high level of noise, and no perceptible blurriness. The overall quality is rated as poor."
hhi_22.ply,Completely Damaged,High,High,Severe,Medium,High,None,None,None,None,2.4453125,2,Bad,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a high level of brightness distortion, a high level of color distortion, a severe level of noise, and a medium level of blurriness. The overall quality is rated as bad."
hhi_23.ply,Completely Damaged,Severe,Severe,Severe,Severe,Severe,None,None,None,None,1.905769231,2,Bad,"When examining this point cloud, the texture is completely damaged. On the photometric side, we observe a severe level of brightness distortion, a severe level of color distortion, a severe level of noise, and a severe level of blurriness; on the geometric side, we observe a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
hhi_24.ply,Distorted but identifiable,Medium,Low,Low,Medium,Low,None,None,None,None,7.680769231,8,Good,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness. The overall quality is rated as good."
hhi_25.ply,Barely Identifiable,Low,Medium,Medium,Low,Low,None,None,None,None,6.366666667,6,Fair,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_26.ply,Barely Identifiable,High,High,High,Medium,Medium,Low,None,None,None,4.5625,5,Fair,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a high level of brightness distortion, a high level of color distortion, a high level of noise, and a medium level of blurriness; on the geometric side, we observe a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_27.ply,Completely Damaged,High,High,High,High,Medium,Medium,None,None,None,2.208333333,2,Bad,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a high level of brightness distortion, a high level of color distortion, a high level of noise, and a high level of blurriness. The overall quality is rated as bad."
hhi_28.ply,Completely Damaged,Severe,Severe,Severe,High,High,Medium,None,None,None,1.540384615,2,Bad,"Considering this point cloud, the texture is completely damaged. Photometric effects involve a severe level of brightness distortion, a severe level of color distortion, a severe level of noise, and a high level of blurriness, whereas geometric effects involve a high level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
hhi_29.ply,Completely Damaged,Severe,Severe,Severe,Severe,Severe,Severe,None,None,None,1,1,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a severe level of brightness distortion, a severe level of color distortion, a severe level of noise, and a severe level of blurriness. Geometric artifacts such as a severe level of point density distortion, a severe level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
hhi_30.ply,Slightly distorted but identifiable,Low,High,Low,Low,None,None,None,None,None,9.464285714,9,Excellent,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a high level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
hhi_31.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,None,None,None,8.3125,8,Good,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_32.ply,Distorted but identifiable,Low,Low,Medium,Medium,Medium,Low,None,None,None,6.836734694,7,Good,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness, whereas geometric effects involve a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_33.ply,Completely Damaged,Low,Low,Medium,High,Medium,Low,None,None,None,3.475,3,Poor,"Visually, the texture is completely damaged, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a high level of blurriness. Geometric artifacts such as a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
hhi_34.ply,Completely Damaged,Medium,Medium,Low,Severe,Medium,Medium,None,None,None,1.867307692,2,Bad,"Considering this point cloud, the texture is completely damaged. Photometric effects involve a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and a severe level of blurriness, whereas geometric effects involve a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
hhi_35.ply,Completely Damaged,Medium,Medium,Medium,Severe,Medium,High,None,None,None,1.1953125,1,Bad,"Considering this point cloud, the texture is completely damaged. Photometric effects involve a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and a severe level of blurriness, whereas geometric effects involve a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
hhi_36.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,Low,None,None,None,8.219230769,8,Good,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
hhi_37.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,None,None,None,5.842307692,6,Fair,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
hhi_38.ply,Barely Identifiable,Medium,Low,Medium,None,Medium,Low,None,None,None,4.920918367,5,Fair,"Visually, the texture is barely identifiable, with photometric distortions such as a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and no perceptible blurriness. Geometric artifacts such as a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
hhi_39.ply,Completely Damaged,Medium,Medium,High,Low,Medium,Medium,None,None,None,2.4921875,2,Bad,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a low level of blurriness. The overall quality is rated as bad."
hhi_40.ply,Completely Damaged,Medium,Medium,High,Medium,Medium,Medium,None,None,None,2.083333333,2,Bad,"When examining this point cloud, the texture is completely damaged. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness; on the geometric side, we observe a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
hhi_41.ply,Completely Damaged,Medium,Medium,Severe,High,Medium,High,None,None,None,1.5,2,Bad,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a medium level of color distortion, a severe level of noise, and a high level of blurriness. The overall quality is rated as bad."
Romanoillamp_0.ply,Slightly distorted but identifiable,Low,Low,Low,None,None,None,None,None,None,9.116666667,9,Excellent,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
Romanoillamp_1.ply,Slightly distorted but identifiable,Low,Low,Low,None,None,None,None,None,None,9.321428571,9,Excellent,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
Romanoillamp_2.ply,Slightly distorted but identifiable,Low,Low,Low,None,None,None,Low,None,None,9.682692308,10,Excellent,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include no perceptible point density distortion, no perceptible scattering artifact, a low level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
Romanoillamp_3.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,Low,None,None,8.62244898,9,Excellent,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
Romanoillamp_4.ply,Distorted but identifiable,Medium,Low,Low,None,Low,None,Low,None,None,7.691326531,8,Good,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, a low level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_5.ply,Distorted but identifiable,Low,Low,Low,None,Medium,None,Medium,None,None,3.6171875,4,Poor,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
Romanoillamp_6.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,None,None,None,8.771683673,9,Excellent,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
Romanoillamp_7.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,None,None,None,7.568877551,8,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_8.ply,Slightly distorted but identifiable,Low,Medium,Low,None,Low,None,None,None,None,6.709615385,7,Good,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a medium level of color distortion, a low level of noise, and no perceptible blurriness. The overall quality is rated as good."
Romanoillamp_9.ply,Slightly distorted but identifiable,Low,Medium,Low,None,Low,None,None,None,None,7.808333333,8,Good,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a low level of noise, and no perceptible blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_10.ply,Distorted but identifiable,Medium,Medium,Medium,None,Low,None,None,None,None,6.953125,7,Good,"Visually, the texture is distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
Romanoillamp_11.ply,Distorted but identifiable,Low,Medium,Medium,None,Low,None,None,None,None,6.2265625,6,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
Romanoillamp_12.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,None,None,None,None,7.941666667,8,Good,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
Romanoillamp_13.ply,Distorted but identifiable,Medium,Low,Low,None,Low,None,None,None,None,8.163461538,8,Good,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_14.ply,Distorted but identifiable,Medium,Low,Low,None,Low,None,None,None,None,8.25,8,Good,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness. The overall quality is rated as good."
Romanoillamp_15.ply,Barely Identifiable,Medium,Low,Low,None,Medium,None,None,None,None,7.544230769,8,Good,"In this point cloud, the texture is barely identifiable. Photometric distortions include a medium level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_16.ply,Barely Identifiable,Medium,Low,Medium,Low,Medium,None,None,None,None,5.125,5,Fair,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness; on the geometric side, we observe a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
Romanoillamp_17.ply,Barely Identifiable,Medium,Low,High,Low,High,None,None,None,None,2.723076923,3,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a low level of color distortion, a high level of noise, and a low level of blurriness, and geometric ones include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
Romanoillamp_18.ply,Slightly distorted but identifiable,Low,Low,Low,Low,None,None,None,None,None,9.553571429,10,Excellent,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
Romanoillamp_19.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,8.71875,9,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
Romanoillamp_20.ply,Distorted but identifiable,Low,Low,Medium,Medium,Low,None,None,None,None,7.296153846,7,Good,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_21.ply,Distorted but identifiable,Medium,Low,Medium,Medium,Medium,High,None,None,None,6.198076923,6,Fair,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness, whereas geometric effects involve a medium level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
Romanoillamp_22.ply,Distorted but identifiable,Medium,Low,High,Medium,High,High,None,None,None,6.667091837,7,Good,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness, whereas geometric effects involve a high level of point density distortion, a high level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
Romanoillamp_23.ply,Barely Identifiable,Medium,Medium,Severe,Low,High,Low,None,None,None,2.6,3,Poor,"Visually, the texture is barely identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, a severe level of noise, and a low level of blurriness. Geometric artifacts such as a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
Romanoillamp_24.ply,Slightly distorted but identifiable,Low,Low,Low,None,Low,Low,None,None,None,8.008333333,8,Good,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
