Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Quality Description,Generated_Description
bag_gsigma_0_tsigma_32.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,,,,,62.11964039,62,Fair,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_gsigma_2_tsigma_8.ply,Slightly distorted but identifiable,Low,Low,Medium,Low,Low,,,,,56.92145553,57,Fair,,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness. The overall quality is rated as fair."
bag_gsigma_2_tsigma_16.ply,Distorted but identifiable,Low,Low,Low,Low,Low,,,,,49.36475509,49,Fair,,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. The overall quality is rated as fair."
bag_gsigma_2_tsigma_32.ply,Barely Identifiable,Low,Low,Medium,Low,Low,,,,,43.75380957,44,Poor,,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gsigma_4_tsigma_8.ply,Barely Identifiable,Low,Low,High,Medium,Low,,,,,22.37620413,22,Bad,,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_gsigma_4_tsigma_16.ply,Barely Identifiable,Low,Low,High,Medium,Low,Low,,,,21.98784769,22,Bad,,"In this point cloud, the texture is barely identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness, while geometric artifacts include a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_gsigma_4_tsigma_32.ply,Barely Identifiable,Low,Low,High,Medium,Low,Low,,,,22.43616482,22,Bad,,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness, and geometric ones include a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_level_7.ply,Completely Damaged,Low,Severe,High,Medium,Medium,,,,,9.59532456,10,Bad,,"In this point cloud, the texture is completely damaged. Photometric distortions include a low level of brightness distortion, a severe level of color distortion, a high level of noise, and a medium level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_level_8.ply,Barely Identifiable,Medium,High,High,Medium,Medium,,,,,18.23796415,18,Bad,,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a medium level of brightness distortion, a high level of color distortion, a high level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_level_9.ply,Slightly distorted but identifiable,Low,High,Low,Low,Medium,,,,,82.74107891,83,Good,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a high level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
bag_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,,,,,90.340738,90,Excellent,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
bag_pqs_1_qs_32_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,,,,,81.83884571,82,Good,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
bag_pqs_1_qs_48_rounded.ply,Slightly distorted but identifiable,Low,Medium,Low,Low,Low,,,,,58.43553789,58,Fair,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_pqs_1_qs_64_rounded.ply,Slightly distorted but identifiable,Low,Medium,Low,Low,Low,,,,,62.55491922,63,Fair,,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a low level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_4_tqs_64.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Medium,,,,,67.09168867,67,Good,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
bag_tsl_4_tqs_128.ply,Slightly distorted but identifiable,Low,Low,Low,Medium,Medium,,,,,62.21628821,62,Fair,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_tsl_4_tqs_256.ply,Distorted but identifiable,Low,Low,Low,High,High,,,,,36.26609788,36,Poor,,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a high level of blurriness, while geometric artifacts include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_tsl_4_tqs_512.ply,Barely Identifiable,Low,Medium,Low,High,High,,,,,20.84981283,21,Bad,,"From a perceptual viewpoint, the texture is barely identifiable. Geometric distortions are characterized by a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a medium level of color distortion, a low level of noise, and a high level of blurriness. The overall quality is rated as bad."
bag_tsl_6_tqs_64.ply,Clearly Identifiable,Low,Low,Low,Low,Medium,,,Low,,58.51287376,59,Fair,,"In this point cloud, the texture is clearly identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_6_tqs_128.ply1,Slightly distorted but identifiable,Low,,Low,,,,,Low,,48.88989054,49,Fair,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, no perceptible color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_6_tqs_256.ply,Barely Identifiable,Low,Low,Medium,Low,High,,,Low,,40.2873935,40,Poor,,"Considering this point cloud, the texture is barely identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a low level of blurriness, whereas geometric effects involve a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_tsl_6_tqs_512.ply,Barely Identifiable,Low,Low,High,Medium,High,,,Low,,24.60106839,25,Poor,,"In this point cloud, the texture is barely identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a high level of noise, and a medium level of blurriness, while geometric artifacts include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_tsl_8_tqs_64.ply,Slightly distorted but identifiable,Low,Low,,,Medium,,,,,90.36817669,90,Excellent,,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness; on the geometric side, we observe a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
bag_tsl_8_tqs_128.ply,Slightly distorted but identifiable,Low,Low,,,Medium,,,,,80.66164159,81,Good,,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
bag_tsl_8_tqs_256.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Medium,,,,,60.38564447,60,Fair,,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_8_tqs_512.ply,Barely Identifiable,Low,Low,High,High,High,,,,,34.95747094,35,Poor,,"In this point cloud, the texture is barely identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness, while geometric artifacts include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gQP_1_tQP_1.ply,Slightly distorted but identifiable,Low,Low,,,Low,Low,,Low,,60.30135594,60,Fair,,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gQP_1_tQP_2.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,Low,,Low,,56.05951863,56,Fair,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gQP_1_tQP_3.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,Low,,Low,,52.14230175,52,Fair,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
banana_gQP_2_tQP_1.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,Low,,Medium,,43.47696839,43,Poor,,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gQP_2_tQP_2.ply,Slightly distorted but identifiable,Low,Low,,Low,Low,Low,,Medium,,43.98226716,44,Poor,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_gQP_2_tQP_3.ply,Slightly distorted but identifiable,Low,Low,,Low,Medium,Low,,Medium,,39.80857854,40,Poor,,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. The overall quality is rated as poor."
banana_gQP_3_tQP_1.ply,Slightly distorted but identifiable,Low,Low,,Low,Medium,Medium,,High,,29.10726664,29,Poor,,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gQP_3_tQP_2.ply,Slightly distorted but identifiable,Low,Low,,Low,Medium,Medium,,High,,23.95632388,24,Bad,,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, and geometric ones include a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as bad."
banana_gQP_3_tQP_3.ply,Slightly distorted but identifiable,Low,Low,,Low,Medium,Medium,,High,,22.65939287,23,Bad,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as bad."
banana_gsigma_0_tsigma_8.ply,Clearly Identifiable,Low,Low,,,Low,,,,,83.0931383,83,Good,,"When examining this point cloud, the texture is clearly identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
banana_gsigma_0_tsigma_16.ply,Slightly distorted but identifiable,Low,Low,,,Low,,,,,60.4722494,60,Fair,,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. The overall quality is rated as fair."
banana_gsigma_0_tsigma_32.ply,Slightly distorted but identifiable,Low,Low,Low,,Low,,,,,40.11307634,40,Poor,,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gsigma_2_tsigma_8.ply,Slightly distorted but identifiable,Low,Low,Low,Medium,Low,,,,,50.75512514,51,Fair,,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gsigma_2_tsigma_16.ply,Slightly distorted but identifiable,Low,Low,Low,High,Medium,,,,,49.66770221,50,Fair,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and a high level of blurriness, whereas geometric effects involve a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gsigma_2_tsigma_32.ply,Slightly distorted but identifiable,Low,Low,Medium,Medium,Medium,,,,,31.34629454,31,Poor,,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness. The overall quality is rated as poor."
banana_gsigma_4_tsigma_8.ply,Barely Identifiable,Low,Low,High,High,High,Low,,,,31.97703197,32,Poor,,"Visually, the texture is barely identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness. Geometric artifacts such as a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_gsigma_4_tsigma_16.ply,Barely Identifiable,Low,Low,High,High,High,Low,,,,27.01710822,27,Poor,,"From a perceptual viewpoint, the texture is barely identifiable. Geometric distortions are characterized by a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness. The overall quality is rated as poor."
banana_gsigma_4_tsigma_32.ply,Barely Identifiable,Low,Low,High,High,High,Low,,,,23.38349674,23,Bad,,"Visually, the texture is barely identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness. Geometric artifacts such as a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
banana_level_7.ply,Completely Damaged,Low,Severe,Severe,Low,Severe,,,,,7.109028314,7,Bad,,"Visually, the texture is completely damaged, with photometric distortions such as a low level of brightness distortion, a severe level of color distortion, a severe level of noise, and a low level of blurriness. Geometric artifacts such as a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
banana_level_8.ply,Barely Identifiable,Medium,High,High,Low,High,,,,,23.08348257,23,Bad,,"In this point cloud, the texture is barely identifiable. Photometric distortions include a medium level of brightness distortion, a high level of color distortion, a high level of noise, and a low level of blurriness, while geometric artifacts include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
banana_level_9.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,,,,,89.49153987,89,Excellent,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
banana_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,,,,,82.92557282,83,Good,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
banana_pqs_1_qs_32_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,,,,,78.10954901,78,Good,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
banana_pqs_1_qs_48_rounded.ply,Distorted but identifiable,Low,Medium,Low,,Low,,,,,61.89404966,62,Fair,,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a medium level of color distortion, a low level of noise, and no perceptible blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_pqs_1_qs_64_rounded.ply,Barely Identifiable,Low,High,Medium,Low,Low,,,,,40.01541846,40,Poor,,"Visually, the texture is barely identifiable, with photometric distortions such as a low level of brightness distortion, a high level of color distortion, a medium level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_tsl_4_tqs_64.ply,Slightly distorted but identifiable,Low,Medium,,,,,Medium,,Low,54.12092417,54,Fair,,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and no perceptible blurriness, whereas geometric effects involve no perceptible point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and a low level of deformed shape. The overall quality is rated as fair."
banana_tsl_4_tqs_128.ply,Slightly distorted but identifiable,Low,Medium,,Low,Low,,Medium,,Low,52.49538462,52,Fair,,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and a low level of blurriness, and geometric ones include a low level of point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and a low level of deformed shape. The overall quality is rated as fair."
banana_tsl_4_tqs_256.ply,Slightly distorted but identifiable,Low,Medium,,Low,Medium,,Medium,,Low,34.18431286,34,Poor,,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and a low level of deformed shape are also present. The overall quality is rated as poor."
