Ply_name,Texture Condition,Brightness distortion,Color Distortion,Noise,Blurriness,Point Density Distortion,Scattering Artifact,Grid Artifact,Missing Region,Deformed Shape,MOS,Rounded MOS,Label,Generated_Description
bag_gsigma_0_tsigma_16.ply,Clearly Identifiable,Low,Low,None,None,Low,None,None,None,None,86.24911138,86,Excellent,"Visually, the texture is clearly identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as excellent."
bag_gsigma_0_tsigma_32.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,62.11964039,62,Fair,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_gsigma_2_tsigma_8.ply,Distorted but identifiable,Low,Medium,Medium,Medium,Medium,None,None,None,None,56.92145553,57,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_gsigma_2_tsigma_16.ply,Distorted but identifiable,Low,Medium,Medium,Medium,Medium,None,None,None,None,49.36475509,49,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
bag_gsigma_2_tsigma_32.ply,Barely Identifiable,Low,Medium,Medium,Medium,Medium,None,None,None,None,43.75380957,44,Poor,"From a perceptual standpoint, the texture is barely identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a medium level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_gsigma_4_tsigma_8.ply,Completely Damaged,Low,Medium,High,Medium,Medium,None,None,None,None,22.37620413,22,Bad,"From a perceptual standpoint, the texture is completely damaged. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_gsigma_4_tsigma_16.ply,Completely Damaged,Low,Medium,High,Medium,Medium,Low,None,None,None,21.98784769,22,Bad,"From a perceptual standpoint, the texture is completely damaged. In terms of distortions, photometric ones include a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_gsigma_4_tsigma_32.ply,Completely Damaged,Low,Medium,High,Medium,Medium,Low,None,None,None,22.43616482,22,Bad,"Considering this point cloud, the texture is completely damaged. Photometric effects involve a low level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness, whereas geometric effects involve a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_level_7.ply,Completely Damaged,High,Severe,Severe,Medium,Medium,None,None,None,None,9.59532456,10,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a high level of brightness distortion, a severe level of color distortion, a severe level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
bag_level_8.ply,Barely Identifiable,High,Severe,Severe,Medium,Medium,None,None,None,None,18.23796415,18,Bad,"From a perceptual viewpoint, the texture is barely identifiable. Geometric distortions are characterized by a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a high level of brightness distortion, a severe level of color distortion, a severe level of noise, and a medium level of blurriness. The overall quality is rated as bad."
bag_level_9.ply,Slightly distorted but identifiable,Low,High,Low,Low,Medium,None,None,None,None,82.74107891,83,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a high level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
bag_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,90.340738,90,Excellent,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. The overall quality is rated as excellent."
bag_pqs_1_qs_32_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,81.83884571,82,Good,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
bag_pqs_1_qs_48_rounded.ply,Slightly distorted but identifiable,Medium,Medium,Medium,Low,Medium,None,None,None,None,58.43553789,58,Fair,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_pqs_1_qs_64_rounded.ply,Slightly distorted but identifiable,Medium,Medium,Medium,Low,Medium,None,None,None,None,62.55491922,63,Fair,"In this point cloud, the texture is slightly distorted but identifiable. Photometric distortions include a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_4_tqs_64.ply,Distorted but identifiable,Low,Low,Low,Low,Medium,None,None,None,Medium,67.09168867,67,Good,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
bag_tsl_4_tqs_128.ply,Distorted but identifiable,Low,Low,Low,Medium,Medium,None,None,None,Medium,62.21628821,62,Fair,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_4_tqs_256.ply,Distorted but identifiable,Low,Low,Low,High,High,None,None,None,Medium,36.26609788,36,Poor,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a high level of blurriness, and geometric ones include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_tsl_4_tqs_512.ply,Completely Damaged,Medium,Medium,Medium,Severe,High,None,None,None,Medium,20.84981283,21,Bad,"In this point cloud, the texture is completely damaged. Photometric distortions include a medium level of brightness distortion, a medium level of color distortion, a medium level of noise, and a severe level of blurriness, while geometric artifacts include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
bag_tsl_6_tqs_64.ply,Clearly Identifiable,Low,Low,Low,Low,Medium,None,None,Low,None,58.51287376,59,Fair,"In this point cloud, the texture is clearly identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_6_tqs_128.ply1,Slightly distorted but identifiable,Low,None,Low,None,None,None,None,Low,None,48.88989054,49,Fair,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, no perceptible color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve no perceptible point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
bag_tsl_6_tqs_256.ply,Barely Identifiable,Medium,Low,Medium,Medium,High,None,None,Low,None,40.2873935,40,Poor,"In this point cloud, the texture is barely identifiable. Photometric distortions include a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness, while geometric artifacts include a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
bag_tsl_6_tqs_512.ply,Completely Damaged,Medium,Medium,High,Medium,High,None,None,Low,None,24.60106839,25,Poor,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a medium level of color distortion, a high level of noise, and a medium level of blurriness. The overall quality is rated as poor."
bag_tsl_8_tqs_64.ply,Slightly distorted but identifiable,Low,Low,None,None,Medium,None,None,None,None,90.36817669,90,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness; on the geometric side, we observe a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
bag_tsl_8_tqs_128.ply,Slightly distorted but identifiable,Low,Low,None,None,Medium,None,None,None,None,80.66164159,81,Good,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
bag_tsl_8_tqs_256.ply,Distorted but identifiable,Medium,Low,Medium,Medium,Medium,None,None,None,None,60.38564447,60,Fair,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness. The overall quality is rated as fair."
bag_tsl_8_tqs_512.ply,Completely Damaged,Medium,Low,High,High,High,None,None,None,None,34.95747094,35,Poor,"From a perceptual viewpoint, the texture is completely damaged. Geometric distortions are characterized by a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a medium level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness. The overall quality is rated as poor."
banana_gQP_1_tQP_1.ply,Slightly distorted but identifiable,Low,Low,None,None,Low,Low,None,Low,None,60.30135594,60,Fair,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness; on the geometric side, we observe a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gQP_1_tQP_2.ply,Slightly distorted but identifiable,Low,Low,None,Low,Low,Low,None,Low,None,56.05951863,56,Fair,"From a perceptual viewpoint, the texture is slightly distorted but identifiable. Geometric distortions are characterized by a low level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. The overall quality is rated as fair."
banana_gQP_1_tQP_3.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Low,None,Low,None,52.14230175,52,Fair,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, while geometric artifacts include a medium level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, a low level of missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gQP_2_tQP_1.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Medium,None,Medium,None,43.47696839,43,Poor,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness, whereas geometric effects involve a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gQP_2_tQP_2.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Medium,None,Medium,None,43.98226716,44,Poor,"From a perceptual viewpoint, the texture is distorted but identifiable. Geometric distortions are characterized by a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. The overall quality is rated as poor."
banana_gQP_2_tQP_3.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Medium,None,Medium,None,39.80857854,40,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a medium level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_gQP_3_tQP_1.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Medium,None,High,None,29.10726664,29,Poor,"When examining this point cloud, the texture is distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gQP_3_tQP_2.ply,Distorted but identifiable,Low,Low,None,Low,Medium,Medium,None,High,None,23.95632388,24,Bad,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a low level of blurriness. Geometric artifacts such as a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
banana_gQP_3_tQP_3.ply,Distorted but identifiable,Low,Low,None,Medium,Medium,Medium,None,High,None,22.65939287,23,Bad,"From a perceptual standpoint, the texture is distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, no perceptible noise, and a medium level of blurriness, and geometric ones include a medium level of point density distortion, a medium level of scattering artifact, no perceptible grid artifact, a high level of missing region, and no perceptible deformed shape. The overall quality is rated as bad."
banana_gsigma_0_tsigma_8.ply,Clearly Identifiable,Low,Low,None,None,Low,None,None,None,None,83.0931383,83,Good,"From a perceptual viewpoint, the texture is clearly identifiable. Geometric distortions are characterized by a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape, and photometric distortions by a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness. The overall quality is rated as good."
banana_gsigma_0_tsigma_16.ply,Slightly distorted but identifiable,Low,Low,None,None,Low,None,None,None,None,60.4722494,60,Fair,"Considering this point cloud, the texture is slightly distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, no perceptible noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gsigma_0_tsigma_32.ply,Slightly distorted but identifiable,Low,Low,Low,None,Medium,None,None,None,None,40.11307634,40,Poor,"From a perceptual standpoint, the texture is slightly distorted but identifiable. In terms of distortions, photometric ones include a low level of brightness distortion, a low level of color distortion, a low level of noise, and no perceptible blurriness, and geometric ones include a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gsigma_2_tsigma_8.ply,Distorted but identifiable,Low,Low,Low,Medium,Medium,None,None,None,None,50.75512514,51,Fair,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as fair."
banana_gsigma_2_tsigma_16.ply,Distorted but identifiable,Low,Low,Medium,High,Medium,None,None,None,None,49.66770221,50,Fair,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a high level of blurriness, whereas geometric effects involve a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_gsigma_2_tsigma_32.ply,Distorted but identifiable,Low,Low,Medium,Medium,Medium,None,None,None,None,31.34629454,31,Poor,"Visually, the texture is distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a medium level of noise, and a medium level of blurriness. Geometric artifacts such as a medium level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_gsigma_4_tsigma_8.ply,Barely Identifiable,Low,Low,High,High,High,Low,None,None,None,31.97703197,32,Poor,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness; on the geometric side, we observe a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as poor."
banana_gsigma_4_tsigma_16.ply,Barely Identifiable,Low,Low,High,High,High,Low,None,None,None,27.01710822,27,Poor,"Visually, the texture is barely identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a high level of noise, and a high level of blurriness. Geometric artifacts such as a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_gsigma_4_tsigma_32.ply,Barely Identifiable,Low,Low,Severe,High,High,Low,None,None,None,23.38349674,23,Bad,"When examining this point cloud, the texture is barely identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a severe level of noise, and a high level of blurriness; on the geometric side, we observe a high level of point density distortion, a low level of scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as bad."
banana_level_7.ply,Completely Damaged,High,Severe,Severe,Low,Severe,None,None,None,None,7.109028314,7,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a high level of brightness distortion, a severe level of color distortion, a severe level of noise, and a low level of blurriness. Geometric artifacts such as a severe level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
banana_level_8.ply,Completely Damaged,Medium,Severe,Severe,Low,High,None,None,None,None,23.08348257,23,Bad,"Visually, the texture is completely damaged, with photometric distortions such as a medium level of brightness distortion, a severe level of color distortion, a severe level of noise, and a low level of blurriness. Geometric artifacts such as a high level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as bad."
banana_level_9.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,89.49153987,89,Excellent,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as excellent."
banana_pqs_1_qs_16_rounded.ply,Slightly distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,82.92557282,83,Good,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as good."
banana_pqs_1_qs_32_rounded.ply,Distorted but identifiable,Low,Low,Low,Low,Low,None,None,None,None,78.10954901,78,Good,"In this point cloud, the texture is distorted but identifiable. Photometric distortions include a low level of brightness distortion, a low level of color distortion, a low level of noise, and a low level of blurriness, while geometric artifacts include a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as good."
banana_pqs_1_qs_48_rounded.ply,Distorted but identifiable,Medium,Medium,Low,None,Low,None,None,None,None,61.89404966,62,Fair,"Considering this point cloud, the texture is distorted but identifiable. Photometric effects involve a medium level of brightness distortion, a medium level of color distortion, a low level of noise, and no perceptible blurriness, whereas geometric effects involve a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape. The overall quality is rated as fair."
banana_pqs_1_qs_64_rounded.ply,Barely Identifiable,Medium,High,Medium,Low,Low,None,None,None,None,40.01541846,40,Poor,"Visually, the texture is barely identifiable, with photometric distortions such as a medium level of brightness distortion, a high level of color distortion, a medium level of noise, and a low level of blurriness. Geometric artifacts such as a low level of point density distortion, no perceptible scattering artifact, no perceptible grid artifact, no perceptible missing region, and no perceptible deformed shape are also present. The overall quality is rated as poor."
banana_tsl_4_tqs_64.ply,Slightly distorted but identifiable,Medium,Medium,None,None,None,None,Medium,None,Low,54.12092417,54,Fair,"Visually, the texture is slightly distorted but identifiable, with photometric distortions such as a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and no perceptible blurriness. Geometric artifacts such as no perceptible point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and a low level of deformed shape are also present. The overall quality is rated as fair."
banana_tsl_4_tqs_128.ply,Slightly distorted but identifiable,Medium,Medium,None,Low,Low,None,Medium,None,Low,52.49538462,52,Fair,"When examining this point cloud, the texture is slightly distorted but identifiable. On the photometric side, we observe a medium level of brightness distortion, a medium level of color distortion, no perceptible noise, and a low level of blurriness; on the geometric side, we observe a low level of point density distortion, no perceptible scattering artifact, a medium level of grid artifact, no perceptible missing region, and a low level of deformed shape. The overall quality is rated as fair."
